Seniority;Status;Category;FirstDivision;SecondDivision;RFEF1;RFEF2;RFEF3;Preferent;Regional1;Regional2;Regional3;Junior;Male;Sex;YearBorn;Age;DateBorn;MadridBorn;PlaceBorn;Spanish;PostCode;City;MainRef;AssRef;Role;textCategory;MadridOffice;AlcalaOffice;AranjuezOffice;Office;;Weight;Height;Profession;StartYear;StartDate;StartAge;DropYear;DropDate;DropAge;talent
15;0;10;0;0;0;0;0;0;0;0;0;1;1;MASCULINO;1976;45;21/11/1976;0;TANGER (MARRUECOS);1;28025;Madrid;1;0;ARBITRO;JUVENIL;1;0;0;MADRID;;;;SEGURIDAD;2006;28/11/2006;30;2014;30/06/2014;38;0
9;0;10;0;0;0;0;0;0;0;0;0;1;1;MASCULINO;1994;27;18/04/1994;0;CACERES;1;28660;Boadilla Del Monte;1;0;ARBITRO;JUVENIL;1;0;0;MADRID;;;;;2012;30/06/2012;18;2015;30/06/2015;21;0
10;0;10;0;0;0;0;0;0;0;0;0;1;1;MASCULINO;1991;30;14/08/1991;0;GIRARDOT  ARAGUA;0;28918;Leganés;1;0;ARBITRO;JUVENIL;1;0;0;MADRID;;;;ESTUDIANTE;2011;01/02/2011;20;2016;30/06/2016;25;0
9;0;8;0;0;0;0;0;0;0;1;0;0;1;MASCULINO;1992;29;01/08/1992;1;MADRID;1;28904;Getafe;1;0;ARBITRO;SEGUNDA REGIONAL;1;0;0;MADRID;;;;;2012;13/04/2012;20;2016;30/06/2016;24;0
29;0;8;0;0;0;0;0;0;0;1;0;0;1;MASCULINO;1975;46;16/04/1975;1;MADRID;1;28034;Madrid;1;0;ARBITRO;SEGUNDA REGIONAL;1;0;0;MADRID;;;;ESTUDIANTE;1992;01/01/1992;17;2014;30/06/2014;39;0
3;1;8;0;0;0;0;0;0;0;1;0;0;1;MASCULINO;1994;27;15/06/1994;0;VENEZUELA;1;28028;Madrid;1;0;ARBITRO;SEGUNDA REGIONAL;1;0;0;MADRID;;82;169;SK developer in Everis;2018;22/11/2018;24;;;;0
3;0;10;0;0;0;0;0;0;0;0;0;1;1;MASCULINO;1999;22;11/10/1999;1;SAN MARTIN DE VALDEIGLESIAS;1;28860;San Martín De Valdeiglesias;1;0;ARBITRO;JUVENIL;1;0;0;MADRID;;;;;2018;12/04/2018;19;2020;30/06/2020;21;0
14;0;8;0;0;0;0;0;0;0;1;0;0;1;MASCULINO;1982;39;18/02/1982;0;LAGOS, NIGERIA;0;28850;Torrejón De Ardoz;1;0;ARBITRO;SEGUNDA REGIONAL;0;1;0;ALCALA DE HENARES;;;;GEOLOGO;2007;15/09/2007;25;2014;30/06/2014;32;0
21;0;7;0;0;0;0;0;0;1;0;0;0;1;MASCULINO;1979;42;08/11/1979;0;TIMISOARA;1;28012;Madrid;1;0;ARBITRO;PRIMERA AFICIONADOS;1;0;0;MADRID;;;;ENCARGADO;2000;19/01/2000;21;2014;30/06/2014;35;0
17;0;8;0;0;0;0;0;0;0;1;0;0;1;MASCULINO;1991;30;20/07/1991;1;MADRID;1;28037;Madrid;1;0;ARBITRO;SEGUNDA REGIONAL;1;0;0;MADRID;;;;ESTUDIANTE;2004;03/09/2004;13;2014;30/06/2014;23;0
